time,SOPR,SOPR Smoothing,Upper Bollinger Band,Lower Bollinger Band,btc active adresses,btc sending adresses,btc receiving adresses,btc new adresses,btc blocks,btc blocksminted,btc meanblocksize,btc totalblocksize,btc difficulty,btc hashrate,btc totalvolume,btc totalvolume usd
1554940800,0.0276065999999942,0.446251679905435,1.14248879061922,-0.881143550619221,767039.163260287,503491.699477561,570802.926811395,391144.990120085,570598.429017155,146.126885076635,1202771.19319246,175668586.290298,2.69779076423881E+022,4.62960209038289E+019,1520903.72745455,7623109077.15117
1555027200,0.246334199999993,0.439761738104445,1.15356071644856,-0.844548776448561,768116.769940235,505207.026845277,572129.121936596,388898.991916433,570745.441923127,147.012905971792,1199405.23151629,176242119.510244,2.69819244346811E+022,4.66058352849509E+019,1517372.49693567,7617694139.02301
1555113600,0.2150886,0.424983422085455,1.15942962241324,-0.803526602413244,736793.720860192,482584.658327954,551445.281584487,376128.447931627,570890.270664377,144.828741249648,1182682.75575239,171380510.144745,2.69852109011028E+022,4.59502288695053E+019,1438501.90268212,7236912116.93732
1555200000,-0.943658999999999,0.0617564362517363,1.22538350445017,-0.934569564450176,710876.862521975,466625.447722871,529374.139478217,361299.457398604,571030.948725399,140.678061022439,1185152.50656939,166755780.8457,2.6987899828175E+022,4.46865508932316E+019,1359770.0822465,6853432652.83058
1555286400,0.00470939999999587,0.0519550842059648,1.22007092673392,-0.891064706733917,722684.705699798,476632.457227804,537883.02320945,368030.101507948,571172.412593508,141.463868109268,1192786.43452856,168788397.237391,2.69900998594159E+022,4.4925359821735E+019,1394684.24405856,7059097890.90858
1555372800,0.159080399999993,0.0907148870776056,1.22332033875399,-0.886409238753993,731672.759208926,484934.374095476,541904.109898641,370880.26487014,571314.519394689,142.106801180311,1203667.97558606,171123609.012411,2.69918998849766E+022,4.51207489450559E+019,1466623.27488962,7443523283.27345
1555459200,0.380062799999998,0.189391816699859,1.2434285740663,-0.866645974066304,734711.71208003,488232.306078117,544405.180826161,373097.125802842,571455.879504745,141.360110056618,1208342.94972193,170856495.737427,2.69933726331627E+022,4.49169764095912E+019,1488847.14640701,7604668323.9491
1555545600,0.170001599999994,0.206472577299882,1.23473462880859,-0.872260288808595,736438.491701843,487802.614063914,547798.238857768,374344.739293234,571598.628685701,142.749180955414,1209531.86795431,172703936.148804,2.69945776089513E+022,4.52957079714837E+019,1545612.87882694,7952352708.52023
1555632000,1.0269432,0.480127017790814,1.34440178889649,-0.876237868896491,746391.129574235,491018.866052293,556759.468156356,379499.877603555,571743.059833755,144.43114805443,1210068.832154,174811901.576294,2.69955634982329E+022,4.57873974312139E+019,1636190.21642126,8467883573.88768
1555718400,0.134605200000006,0.433620650919759,1.19971935876336,-0.598561058763364,735954.74237892,488751.254042785,538533.746673382,367898.263493818,571885.04895489,141.989121135443,1215612.04101983,172575719.289695,2.69963701349178E+022,4.50987797164478E+019,1534766.98389774,7973692926.88045
1555804800,-0.0698135999999971,0.333624896207076,1.20156749431506,-0.608587494315064,726418.425582753,488557.38967137,518184.883641858,353106.215585851,572030.676417638,145.62746274718,1202306.28945393,174848084.146114,2.69970301103873E+022,4.61717288589118E+019,1400753.65369143,7293633897.24046
